Alignment_name	Taxon_name	Sequence_length	Undetermined_characters	Missing_percent	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	Z	X	.	*	-	?
species_tree_concat.fa	Apfor	237116	4603	1.941	14676	5288	11417	15808	9363	13401	6104	12219	14833	22365	5626	9909	12376	10475	11739	19311	12678	14867	2756	7302	0	0	0	32	0	0	3354	1217
species_tree_concat.fa	Appat	237116	9977	4.208	14310	5197	11144	15428	9225	13061	5969	11937	14506	21858	5422	9664	12091	10248	11488	18818	12348	14518	2719	7188	0	0	0	1	0	0	8535	1441
species_tree_concat.fa	Aqchr	237116	1773	0.748	14944	5371	11573	16114	9461	13569	6123	12345	14980	22570	5637	9980	12608	10598	12004	19544	12752	14973	2796	7401	0	0	0	0	0	0	196	1577
species_tree_concat.fa	Arint	237116	8286	3.494	14577	5192	11273	15623	9233	13250	5915	11898	14634	22027	5454	9595	12297	10313	11718	18906	12407	14602	2720	7196	0	0	0	5	0	0	6975	1306
species_tree_concat.fa	Atcun	237116	3985	1.681	14638	5323	11503	15844	9419	13405	6098	12298	14889	22429	5614	9892	12461	10484	11787	19353	12794	14807	2748	7345	0	0	0	11	0	0	3828	146
species_tree_concat.fa	Ayful	237116	584	0.246	15267	5356	11662	16193	9512	13689	6133	12238	15063	22787	5626	9964	12725	10673	12050	19468	12860	15037	2787	7442	0	0	0	0	0	0	584	0
species_tree_concat.fa	Bareg	237116	10886	4.591	14218	5133	11173	15368	9152	13045	5950	11958	14473	21680	5437	9640	12081	10154	11364	18762	12408	14434	2667	7133	0	0	0	36	0	0	9656	1194
species_tree_concat.fa	Bogar	237116	6729	2.838	15031	5267	11232	15698	9312	13510	6006	11792	14561	22293	5390	9489	12576	10453	11860	19100	12230	14685	2753	7149	0	0	0	4	0	0	5284	1441
species_tree_concat.fa	Bubub	237116	7674	3.236	14397	5280	11273	15585	9336	13243	6004	12060	14627	22165	5477	9760	12214	10342	11595	18939	12556	14632	2726	7231	0	0	0	12	0	0	7662	0
species_tree_concat.fa	Caann	237116	3378	1.425	14823	5375	11421	16020	9426	13586	6143	12154	14831	22551	5542	9749	12549	10573	11818	19491	12647	14879	2802	7358	0	0	0	0	0	0	1026	2352
species_tree_concat.fa	Cacar	237116	8805	3.713	15023	5233	11098	15598	9162	13355	5957	11659	14378	22162	5359	9319	12457	10381	11735	19043	12033	14579	2730	7050	0	0	0	0	0	0	7364	1441
species_tree_concat.fa	Cacas	237116	10814	4.561	14236	5184	11185	15355	9230	12944	5925	11921	14446	21815	5412	9616	11989	10251	11429	18800	12307	14384	2710	7163	0	0	0	1	0	0	7114	3699
species_tree_concat.fa	Cafus	237116	10143	4.278	14741	5182	11140	15436	9175	13277	5935	11670	14357	21983	5372	9331	12432	10304	11555	18848	12041	14448	2703	7043	0	0	0	2	0	0	7441	2700
species_tree_concat.fa	Canic	237116	5659	2.387	14805	5270	11361	15779	9404	13348	6019	12104	14701	22240	5512	9750	12412	10471	11839	19090	12520	14789	2756	7287	0	0	0	1	0	0	4217	1441
species_tree_concat.fa	Capug	237116	1507	0.636	15036	5345	11618	16104	9488	13709	6107	12182	15053	22626	5638	9889	12821	10575	12070	19371	12752	15051	2779	7395	0	0	0	1	0	0	1506	0
species_tree_concat.fa	Caust	237116	1524	0.643	15305	5383	11574	16105	9479	13780	6176	12114	14907	22808	5576	9694	12850	10720	12027	19525	12500	14971	2790	7308	0	0	0	0	0	0	904	620
species_tree_concat.fa	Cebra	237116	6678	2.816	14867	5265	11315	15669	9303	13448	6036	11911	14668	22294	5425	9550	12494	10463	11740	19110	12325	14649	2741	7165	0	0	0	1	0	0	5876	801
species_tree_concat.fa	Cecet	237116	12216	5.152	14561	5158	10963	15282	9114	13095	5910	11545	14297	21800	5299	9244	12293	10220	11475	18676	11968	14307	2692	7001	0	0	0	0	0	0	10321	1895
species_tree_concat.fa	Cefam	237116	13532	5.707	14345	5155	10957	15093	9042	13045	5896	11547	14154	21647	5250	9283	12211	10156	11351	18630	11963	14202	2655	7002	0	0	0	0	0	0	10480	3052
species_tree_concat.fa	Cegry	237116	6970	2.939	14592	5245	11299	15675	9381	13289	5979	12045	14682	22140	5524	9697	12341	10381	11702	19036	12500	14650	2738	7250	0	0	0	0	0	0	5238	1732
species_tree_concat.fa	Ceuro	237116	801	0.338	15182	5370	11639	16182	9522	13587	6170	12262	15034	22777	5666	9919	12584	10604	12102	19631	12766	15088	2784	7446	0	0	0	11	0	0	790	0
species_tree_concat.fa	Chgou	237116	20465	8.631	14207	4915	10675	14925	8651	12546	5671	11208	13816	20860	5172	8863	11722	9796	10941	17959	11586	13891	2556	6691	0	0	0	0	0	0	6700	13765
species_tree_concat.fa	Chpel	237116	4973	2.097	14685	5289	11435	15839	9354	13414	6066	12079	14769	22433	5565	9739	12427	10476	11814	19301	12602	14814	2769	7273	0	0	0	71	0	0	3667	1235
species_tree_concat.fa	Chvoc	237116	3382	1.426	14756	5323	11534	15931	9419	13440	6100	12256	14945	22452	5602	9942	12539	10511	11820	19367	12748	14907	2767	7375	0	0	0	23	0	0	3152	207
species_tree_concat.fa	Cimag	237116	9040	3.812	14350	5155	11200	15563	9227	13096	5945	11993	14623	21998	5466	9686	12140	10293	11528	18912	12442	14529	2708	7222	0	0	0	5	0	0	6436	2599
species_tree_concat.fa	Cimex	237116	10569	4.457	14497	5202	11112	15320	9187	13189	5960	11731	14403	21889	5341	9351	12339	10311	11530	18809	12143	14443	2714	7076	0	0	0	14	0	0	8291	2264
species_tree_concat.fa	Cobra	237116	4166	1.757	14954	5303	11469	15860	9397	13555	6112	12053	14800	22476	5554	9685	12614	10515	11869	19355	12538	14822	2766	7253	0	0	0	54	0	0	3339	773
species_tree_concat.fa	Cocor	237116	3430	1.447	15122	5338	11477	15972	9374	13587	6161	12058	14818	22599	5535	9693	12618	10602	11949	19386	12515	14848	2784	7250	0	0	0	0	0	0	707	2723
species_tree_concat.fa	Cohaw	237116	261	0.11	15315	5411	11623	16202	9513	13781	6216	12211	15019	22884	5618	9821	12871	10721	12114	19628	12691	15045	2821	7350	0	0	0	0	0	0	261	0
species_tree_concat.fa	Cojap	237116	650	0.274	15157	5390	11699	16130	9531	13638	6117	12273	15040	22755	5644	9989	12665	10615	12107	19557	12813	15092	2795	7459	0	0	0	0	0	0	650	0
species_tree_concat.fa	Coliv	237116	7825	3.3	14696	5160	11309	15623	9231	13224	6027	11923	14573	22003	5499	9705	12279	10404	11785	18975	12382	14637	2693	7163	0	0	0	84	0	0	7331	410
species_tree_concat.fa	Costr	237116	16142	6.808	14007	5068	10844	15025	8976	12730	5773	11530	14071	21390	5246	9340	11786	9896	11168	18345	12019	14146	2624	6990	0	0	0	70	0	0	15330	742
species_tree_concat.fa	Cucan	237116	451	0.19	14982	5399	11629	16232	9537	13577	6110	12457	15022	22766	5666	10040	12666	10677	12113	19637	12797	15075	2798	7485	0	0	0	0	0	0	451	0
species_tree_concat.fa	Cyatr	237116	1455	0.614	15110	5332	11621	16099	9496	13621	6113	12242	15041	22682	5632	9971	12626	10643	11976	19414	12847	14979	2795	7421	0	0	0	0	0	0	745	710
species_tree_concat.fa	Cycae	237116	2916	1.23	15114	5344	11504	15965	9428	13614	6161	12108	14848	22674	5552	9722	12665	10544	11955	19537	12521	14863	2775	7306	0	0	0	0	0	0	2706	210
species_tree_concat.fa	Cyolo	237116	2145	0.905	15077	5335	11621	16083	9433	13582	6118	12166	14985	22575	5611	9947	12610	10593	12000	19413	12802	14891	2756	7373	0	0	0	0	0	0	605	1540
species_tree_concat.fa	Drnov	237116	1768	0.746	14914	5368	11647	16038	9522	13520	6167	12359	15000	22679	5634	9978	12478	10647	11904	19544	12843	14924	2786	7396	0	0	0	110	0	0	1658	0
species_tree_concat.fa	Drpub	237116	877	0.37	15587	5402	11567	16174	9461	13821	6182	11993	14811	22933	5513	9617	12857	10754	12207	19595	12535	15058	2808	7364	0	0	0	0	0	0	520	357
species_tree_concat.fa	Eggar	237116	5065	2.136	14712	5284	11422	15817	9363	13342	6057	12147	14790	22339	5601	9873	12445	10406	11740	19208	12639	14799	2763	7304	0	0	0	131	0	0	4309	625
species_tree_concat.fa	Emtra	237116	2061	0.869	15127	5360	11560	16018	9471	13778	6103	12015	14884	22671	5521	9822	12848	10621	12116	19344	12617	15075	2783	7321	0	0	0	0	0	0	1716	345
species_tree_concat.fa	Eoros	237116	8776	3.701	14407	5266	11175	15478	9318	13113	6011	11958	14468	22025	5480	9598	12242	10377	11563	18945	12412	14579	2713	7212	0	0	0	0	0	0	8136	640
species_tree_concat.fa	Errub	237116	8366	3.528	15093	5280	11160	15544	9279	13427	5973	11693	14405	22253	5373	9308	12485	10424	11731	19030	11981	14495	2751	7065	0	0	0	0	0	0	6566	1800
species_tree_concat.fa	Euhel	237116	13506	5.696	14343	5087	11049	15180	8995	12889	5880	11524	14202	21549	5346	9332	12027	10016	11392	18556	12197	14373	2660	7013	0	0	0	93	0	0	12137	1276
species_tree_concat.fa	Eumin	237116	7528	3.175	14482	5224	11305	15614	9292	13208	6030	12062	14677	22091	5496	9769	12250	10355	11610	19007	12497	14627	2746	7246	0	0	0	0	0	0	6727	801
species_tree_concat.fa	Fache	237116	558	0.235	15017	5417	11640	16154	9510	13648	6204	12343	15077	22779	5695	9959	12637	10677	12015	19630	12796	15128	2800	7432	0	0	0	0	0	0	558	0
species_tree_concat.fa	Fanau	237116	341	0.144	15023	5421	11654	16163	9510	13676	6204	12350	15080	22790	5684	9976	12650	10703	12014	19662	12816	15150	2803	7446	0	0	0	0	0	0	341	0
species_tree_concat.fa	Faper	237116	409	0.172	15000	5423	11659	16154	9523	13668	6211	12356	15080	22780	5698	9961	12641	10687	12008	19661	12823	15131	2807	7436	0	0	0	0	0	0	409	0
species_tree_concat.fa	Farus	237116	471	0.199	15018	5422	11651	16144	9516	13667	6214	12344	15065	22776	5702	9958	12650	10675	12018	19650	12792	15136	2803	7444	0	0	0	0	0	0	471	0
species_tree_concat.fa	Fatin	237116	2257	0.952	14883	5415	11534	15987	9487	13589	6158	12264	14929	22581	5630	9873	12570	10602	11923	19515	12761	14991	2787	7380	0	0	0	0	0	0	2257	0
species_tree_concat.fa	Fialb	237116	2285	0.964	15431	5366	11501	16004	9408	13760	6133	12033	14834	22766	5521	9562	12865	10683	12048	19524	12418	14931	2770	7273	0	0	0	8	0	0	1783	494
species_tree_concat.fa	Frmag	237116	22508	9.492	13632	4911	10489	14596	8697	12405	5566	11274	13659	20727	5095	9060	11509	9648	10864	17835	11664	13658	2564	6755	0	0	0	11	0	0	13953	8544
species_tree_concat.fa	Fugla	237116	9900	4.175	14263	5164	11204	15486	9156	12993	5990	12007	14558	21923	5497	9707	11975	10199	11476	18906	12415	14425	2679	7193	0	0	0	48	0	0	9852	0
species_tree_concat.fa	Gagal	237116	458	0.193	15226	5380	11651	16172	9509	13643	6157	12307	15058	22792	5652	9973	12652	10660	12079	19564	12840	15081	2796	7466	0	0	0	0	0	0	458	0
species_tree_concat.fa	Gaste	237116	12499	5.271	14018	5125	11071	15366	9050	12873	5912	11746	14436	21588	5443	9589	11833	10136	11331	18739	12304	14284	2658	7115	0	0	0	57	0	0	11379	1063
species_tree_concat.fa	Gecal	237116	16678	7.034	13836	5091	10830	14893	8979	12623	5754	11638	14013	21258	5278	9480	11735	9886	11136	18368	11974	14101	2628	6937	0	0	0	2	0	0	16163	513
species_tree_concat.fa	Grame	237116	320	0.135	15021	5395	11716	16141	9523	13641	6200	12411	15099	22740	5687	10012	12658	10669	12057	19624	12896	15058	2801	7447	0	0	0	0	0	0	320	0
species_tree_concat.fa	Gycal	237116	866	0.365	14968	5385	11641	16168	9524	13611	6158	12400	15079	22712	5673	9996	12633	10618	12036	19578	12840	15000	2786	7444	0	0	0	0	0	0	376	490
species_tree_concat.fa	Haalb	237116	12412	5.235	14010	5129	11069	15369	9111	12828	5899	11852	14317	21664	5447	9613	11860	10166	11358	18689	12229	14356	2661	7077	0	0	0	129	0	0	12144	139
species_tree_concat.fa	Hahar	237116	149	0.063	15010	5403	11632	16215	9533	13670	6189	12425	15079	22778	5702	10060	12677	10692	12077	19665	12827	15077	2804	7452	0	0	0	0	0	0	149	0
species_tree_concat.fa	Hihim	237116	9576	4.039	14348	5173	11168	15473	9215	13101	5936	11893	14536	21884	5433	9646	12221	10283	11588	18851	12410	14500	2717	7164	0	0	0	3	0	0	7349	2224
species_tree_concat.fa	Hiict	237116	7679	3.238	14768	5262	11250	15602	9276	13349	5988	11865	14625	22222	5396	9493	12449	10398	11707	19016	12299	14574	2745	7153	0	0	0	2	0	0	6236	1441
species_tree_concat.fa	Hirus	237116	7261	3.062	14951	5269	11245	15643	9304	13425	5981	11767	14589	22259	5381	9475	12556	10418	11785	18989	12249	14657	2755	7157	0	0	0	2	0	0	5370	1889
species_tree_concat.fa	Laleu	237116	1487	0.627	15103	5364	11621	16118	9487	13553	6131	12242	15025	22680	5632	9911	12549	10586	12062	19588	12739	15036	2772	7430	0	0	0	0	0	0	718	769
species_tree_concat.fa	Lalud	237116	9021	3.804	14690	5238	11148	15551	9222	13254	5957	11814	14527	22038	5388	9444	12370	10350	11637	18935	12232	14459	2731	7110	0	0	0	2	0	0	7130	1889
species_tree_concat.fa	Lamut	237116	439	0.185	15201	5388	11666	16193	9544	13613	6154	12286	15056	22803	5657	9947	12614	10629	12098	19669	12791	15119	2786	7463	0	0	0	0	0	0	439	0
species_tree_concat.fa	Lelut	237116	11957	5.043	14636	5171	10987	15353	9174	13193	5881	11429	14279	21827	5221	9212	12286	10245	11526	18737	11982	14378	2707	6935	0	0	0	2	0	0	9337	2618
species_tree_concat.fa	Lerot	237116	10490	4.424	14650	5218	11118	15453	9139	13119	5951	11699	14388	21962	5330	9347	12301	10299	11592	18837	12116	14409	2714	6984	0	0	0	5	0	0	7782	2703
species_tree_concat.fa	Locur	237116	6834	2.882	15039	5272	11264	15709	9276	13472	6021	11818	14557	22335	5415	9429	12555	10460	11775	19155	12194	14630	2769	7137	0	0	0	2	0	0	6031	801
species_tree_concat.fa	Loleu	237116	7547	3.183	15001	5235	11230	15671	9227	13431	5991	11778	14555	22257	5396	9390	12487	10434	11732	19137	12166	14594	2741	7116	0	0	0	3	0	0	6103	1441
species_tree_concat.fa	Lostr	237116	1015	0.428	15335	5388	11565	16144	9498	13761	6172	12193	14957	22855	5555	9756	12859	10726	12065	19574	12570	14998	2803	7327	0	0	0	0	0	0	779	236
species_tree_concat.fa	Macya	237116	9979	4.208	14640	5220	11172	15442	9197	13235	5965	11731	14418	22025	5378	9473	12287	10180	11706	18647	12138	14436	2715	7132	0	0	0	0	0	0	9009	970
species_tree_concat.fa	Megal	237116	5144	2.169	14744	5306	11439	15819	9398	13296	6054	12177	14816	22367	5597	9846	12280	10406	11792	19285	12567	14722	2725	7336	0	0	0	0	0	0	5144	0
species_tree_concat.fa	Memel	237116	20837	8.788	14138	4912	10699	14930	8660	12568	5674	11043	13763	21017	5141	8851	11708	9762	11153	17881	11421	13755	2553	6650	0	0	0	4	0	0	18736	2097
species_tree_concat.fa	Meund	237116	517	0.218	15013	5399	11660	16151	9506	13566	6217	12388	14996	22797	5700	10015	12612	10742	11975	19613	12929	15063	2807	7450	0	0	0	0	0	0	517	0
species_tree_concat.fa	Moalb	237116	417	0.176	15480	5397	11613	16178	9515	13873	6187	12124	14960	22882	5565	9685	12933	10729	12180	19644	12582	15030	2807	7335	0	0	0	0	0	0	417	0
species_tree_concat.fa	Moate	237116	1275	0.538	15487	5397	11545	16170	9431	13800	6175	12055	14859	22860	5538	9639	12909	10695	12133	19602	12491	14962	2807	7286	0	0	0	0	0	0	538	737
species_tree_concat.fa	Nenot	237116	9730	4.103	14327	5164	11199	15517	9166	12965	5966	11967	14511	21905	5512	9653	12068	10268	11479	18866	12456	14517	2695	7185	0	0	0	60	0	0	9670	0
species_tree_concat.fa	Ninip	237116	2574	1.086	14932	5332	11575	16021	9447	13505	6131	12245	14968	22566	5639	9964	12582	10536	11898	19414	12747	14875	2780	7385	0	0	0	22	0	0	2552	0
species_tree_concat.fa	Numel	237116	874	0.369	15182	5376	11642	16169	9541	13599	6150	12292	15047	22752	5639	9928	12630	10618	12083	19568	12793	15014	2783	7436	0	0	0	0	0	0	874	0
species_tree_concat.fa	Oeoen	237116	9594	4.046	14993	5226	11134	15436	9169	13386	5960	11599	14361	22155	5308	9213	12437	10315	11714	18924	11956	14468	2722	7046	0	0	0	2	0	0	7797	1795
species_tree_concat.fa	Orori	237116	7227	3.048	14938	5235	11278	15659	9260	13430	5986	11781	14577	22199	5415	9467	12547	10429	11765	19064	12294	14673	2738	7154	0	0	0	0	0	0	5226	2001
species_tree_concat.fa	Oxjam	237116	596	0.251	15157	5365	11657	16177	9537	13668	6123	12281	15058	22750	5656	10008	12683	10720	12035	19499	12894	15039	2789	7424	0	0	0	0	0	0	596	0
species_tree_concat.fa	Paamo	237116	13833	5.834	14591	5153	10934	15179	9020	13143	5838	11378	14019	21627	5219	9173	12250	10103	11420	18619	11814	14243	2678	6882	0	0	0	0	0	0	9235	4598
species_tree_concat.fa	Pabia	237116	19373	8.17	14199	5041	10576	14776	8844	12726	5727	11096	13772	21074	5143	8968	11843	9796	11167	18158	11613	13871	2619	6734	0	0	0	1	0	0	10957	8415
species_tree_concat.fa	Padom	237116	5282	2.228	15204	5312	11298	15769	9385	13632	6078	11880	14574	22445	5452	9478	12593	10498	11959	19246	12288	14763	2793	7187	0	0	0	14	0	0	5268	0
species_tree_concat.fa	Pafas	237116	10279	4.335	14478	5114	11285	15627	9160	13013	5919	11852	14483	21809	5447	9585	12020	10198	11703	18519	12334	14465	2676	7150	0	0	0	3	0	0	5110	5166
species_tree_concat.fa	Pamaj	237116	894	0.377	15272	5393	11594	16152	9484	13755	6215	12168	14977	22907	5570	9766	12792	10667	12067	19666	12633	14977	2812	7355	0	0	0	0	0	0	894	0
species_tree_concat.fa	Pamon	237116	1235	0.521	15514	5389	11556	16132	9443	13808	6175	12021	14883	22844	5536	9644	12894	10692	12170	19596	12475	15001	2804	7304	0	0	0	8	0	0	1227	0
species_tree_concat.fa	Pecri	237116	11494	4.847	14185	5140	11129	15394	9140	12974	5895	11944	14476	21691	5434	9595	11926	10122	11324	18669	12394	14390	2660	7140	0	0	0	60	0	0	11228	206
species_tree_concat.fa	Phcar	237116	13041	5.5	14074	5095	11024	15259	9102	12883	5849	11862	14253	21580	5415	9546	11937	10112	11253	18496	12317	14257	2661	7100	0	0	0	132	0	0	11372	1537
species_tree_concat.fa	Phcol	237116	994	0.419	15080	5354	11647	16141	9519	13562	6123	12329	15063	22718	5664	9962	12595	10614	12032	19612	12816	15053	2782	7456	0	0	0	0	0	0	878	116
species_tree_concat.fa	Phmel	237116	10631	4.483	14781	5227	11082	15399	9121	13262	5941	11589	14202	21947	5288	9274	12466	10307	11588	18881	11960	14449	2726	6995	0	0	0	3	0	0	9637	991
species_tree_concat.fa	Phrub	237116	17575	7.412	13819	5013	10836	14978	8903	12588	5731	11521	14074	21230	5215	9343	11602	9861	11119	18116	11998	14101	2593	6900	0	0	0	0	0	0	16785	790
species_tree_concat.fa	Poatr	237116	6478	2.732	14843	5290	11304	15720	9324	13401	6054	11955	14646	22353	5426	9555	12566	10397	11707	19183	12322	14659	2759	7174	0	0	0	1	0	0	5676	801
species_tree_concat.fa	Pocae	237116	6965	2.937	15064	5248	11282	15700	9279	13436	5992	11839	14543	22295	5377	9400	12594	10474	11756	19112	12200	14665	2753	7142	0	0	0	3	0	0	5656	1306
species_tree_concat.fa	Popod	237116	7156	3.018	14579	5244	11271	15656	9341	13281	5985	12035	14630	22198	5505	9734	12305	10336	11681	19027	12491	14642	2749	7270	0	0	0	0	0	0	6355	801
species_tree_concat.fa	Prate	237116	10668	4.499	14260	5207	11088	15353	9274	13010	5921	11834	14413	21884	5404	9568	12134	10256	11449	18780	12331	14416	2704	7162	0	0	0	7	0	0	9220	1441
species_tree_concat.fa	Pyjoc	237116	8170	3.446	14923	5238	11162	15617	9213	13373	5977	11767	14549	22162	5401	9441	12481	10380	11695	18930	12213	14554	2742	7128	0	0	0	4	0	0	6510	1656
species_tree_concat.fa	Pypap	237116	9635	4.063	14383	5186	11136	15453	9235	13136	5949	11962	14515	21872	5479	9661	12116	10257	11518	18813	12404	14510	2722	7174	0	0	0	0	0	0	7963	1672
species_tree_concat.fa	Qumex	237116	10863	4.581	14825	5176	11039	15427	9128	13169	5916	11589	14346	21940	5301	9260	12358	10253	11566	18837	11979	14405	2721	7018	0	0	0	2	0	0	9234	1627
species_tree_concat.fa	Resat	237116	10984	4.632	14870	5198	11052	15432	9116	13311	5884	11510	14276	21968	5282	9233	12408	10235	11608	18738	11942	14346	2698	7025	0	0	0	2	0	0	7513	3469
species_tree_concat.fa	Ritri	237116	284	0.12	15074	5392	11686	16187	9540	13679	6147	12346	15080	22734	5677	10039	12725	10643	12083	19606	12892	15083	2796	7423	0	0	0	0	0	0	284	0
species_tree_concat.fa	Rynig	237116	7456	3.144	14593	5226	11294	15675	9323	13264	5927	12047	14646	22115	5519	9727	12285	10333	11621	18948	12486	14660	2726	7245	0	0	0	2	0	0	6013	1441
species_tree_concat.fa	Secan	237116	1079	0.455	15442	5394	11555	16160	9458	13827	6173	12064	14885	22826	5550	9678	12906	10706	12153	19659	12483	15008	2801	7309	0	0	0	0	0	0	1079	0
species_tree_concat.fa	Sekir	237116	7595	3.203	15036	5258	11201	15686	9226	13431	5992	11669	14417	22306	5344	9375	12574	10439	11828	19134	12167	14612	2735	7091	0	0	0	2	0	0	4711	2882
species_tree_concat.fa	Sieur	237116	9685	4.084	14848	5209	11047	15521	9187	13335	5915	11669	14386	22098	5302	9316	12392	10391	11641	18833	12089	14466	2718	7068	0	0	0	3	0	0	8241	1441
species_tree_concat.fa	Spdem	237116	8775	3.701	14401	5212	11199	15527	9268	13145	5990	12015	14608	21983	5459	9715	12136	10288	11540	18857	12442	14601	2734	7221	0	0	0	0	0	0	7635	1140
species_tree_concat.fa	Sphum	237116	7199	3.036	14536	5229	11290	15648	9337	13237	6006	12078	14672	22151	5508	9730	12296	10340	11633	18975	12514	14727	2758	7252	0	0	0	0	0	0	5409	1790
species_tree_concat.fa	Spmag	237116	6789	2.863	14555	5242	11318	15670	9345	13263	6034	12083	14712	22175	5514	9765	12318	10368	11656	19034	12523	14728	2758	7266	0	0	0	3	0	0	5985	801
species_tree_concat.fa	Stcam	237116	3951	1.666	14728	5279	11501	15937	9435	13360	6096	12267	14947	22462	5625	9925	12337	10570	11771	19289	12717	14798	2748	7373	0	0	0	52	0	0	3768	131
species_tree_concat.fa	Stcin	237116	7005	2.954	14939	5254	11278	15714	9295	13363	5997	11854	14601	22232	5403	9511	12499	10398	11838	19061	12313	14649	2753	7159	0	0	0	1	0	0	5563	1441
species_tree_concat.fa	Sthab	237116	342	0.144	15098	5385	11648	16204	9524	13628	6211	12357	15026	22763	5680	9999	12705	10693	12046	19573	12873	15104	2812	7445	0	0	0	0	0	0	342	0
species_tree_concat.fa	Stocc	237116	12890	5.436	14142	5227	10986	15165	9236	12891	5884	11761	14225	21713	5317	9481	11898	10045	11417	18462	12259	14313	2674	7130	0	0	0	2	0	0	12180	708
species_tree_concat.fa	Stpar	237116	7379	3.112	14499	5220	11290	15669	9327	13237	5957	12068	14662	22067	5502	9743	12323	10350	11700	19038	12488	14624	2731	7242	0	0	0	2	0	0	5578	1799
species_tree_concat.fa	Stvul	237116	1512	0.638	15265	5392	11620	16071	9497	13712	6179	12131	14892	22812	5571	9708	12819	10660	12062	19553	12562	14972	2811	7315	0	0	0	4	0	0	1332	176
species_tree_concat.fa	Sudac	237116	17611	7.427	13794	5087	10692	14946	8826	12606	5742	11555	13943	21171	5239	9307	11794	9991	11045	18229	12014	13933	2624	6967	0	0	0	8	0	0	13300	4303
species_tree_concat.fa	Syatr	237116	7931	3.345	14854	5242	11195	15609	9280	13388	6001	11798	14509	22193	5370	9418	12497	10395	11698	18994	12225	14644	2745	7130	0	0	0	0	0	0	5962	1969
species_tree_concat.fa	Sybor	237116	7864	3.317	14873	5242	11199	15603	9279	13394	6006	11816	14617	22193	5384	9393	12456	10388	11703	19039	12205	14582	2738	7142	0	0	0	8	0	0	6415	1441
species_tree_concat.fa	Tagut	237116	1042	0.439	15296	5380	11563	16148	9491	13782	6158	12157	14972	22809	5556	9725	12880	10729	12102	19571	12596	15021	2814	7324	0	0	0	0	0	0	478	564
