OG0003104_x00	GO:0005509,GO:0005737,GO:0090090
OG0002720_x00	GO:0005515,GO:0003723,GO:0003676,GO:0060213,GO:0000932,GO:0005654,GO:0035195
OG0006749_x00	GO:0004590,GO:0006207,GO:0044205,GO:0004588,GO:0006221,GO:0019856,GO:0006222
OG0002044_x00	GO:0005515
OG0003152_x00	GO:0038023,GO:0043235,GO:0007399,GO:0009897
OG0007857_x00	GO:0008146,GO:0016020,GO:0016051,GO:0030166
OG0008965_x00	GO:0008757,GO:0005737,GO:0030488,GO:0106335,GO:0000049,GO:0002098,GO:0005634
OG0004260_x00	GO:0004672,GO:0006468,GO:0005524,GO:0005515,GO:0006623,GO:0016236,GO:0030242,GO:0034271,GO:0034272,GO:0045324,GO:0071561,GO:0004674,GO:0005770
OG0008289_x00	GO:0005829,GO:0045746,GO:0002264,GO:0005112,GO:0005634
OG0000852_x01	GO:0032039,GO:0034472
OG0009397_x00	GO:0016020,GO:0006814,GO:0006885,GO:0015385,GO:0055085,GO:0015386,GO:0016324,GO:0031526,GO:0051453,GO:0071805,GO:0098719,GO:1902600,GO:0005886,GO:0006812,GO:0015297
OG0000176_x00	GO:0006355,GO:0003677,GO:0003700,GO:0005634,GO:0005524,GO:0002062,GO:0006357,GO:0030097,GO:0030182,GO:0045595,GO:0000978,GO:0000981,GO:0001503
OG0005989_x00	GO:0140625,GO:0016020,GO:0038023
OG0000176_x01	GO:0006355,GO:0003677,GO:0005524,GO:0005634,GO:0002062,GO:0006357,GO:0030097,GO:0030182,GO:0045595,GO:0000978,GO:0000981,GO:0001503,GO:0003700
OG0010445_x00	GO:0009306,GO:0046907
OG0000176_x02	GO:0006355,GO:0003677,GO:0003700,GO:0005634,GO:0005524,GO:0002062,GO:0006357,GO:0030097,GO:0030182,GO:0045595,GO:0000978,GO:0000981,GO:0001503
OG0011553_x00	GO:0004930,GO:0007186,GO:0016020,GO:0051482,GO:0005887,GO:0035025
OG0007609_x00	GO:0016491,GO:0004128
OG0001159_x00	GO:0006886,GO:0016192,GO:0030131,GO:0015031,GO:0030276,GO:0005515,GO:0030117
OG0002267_x00	GO:0005634
OG0008717_x00	GO:0008104,GO:0012505
OG0001159_x01	GO:0006886,GO:0016192,GO:0005515,GO:0015031,GO:0030276,GO:0030117,GO:0030131
OG0009825_x00	GO:0008641,GO:0019781,GO:0045116,GO:0005737,GO:0032446
OG0011428_x00	GO:0007224,GO:0060271
OG0003375_x00	GO:0016192,GO:0000139,GO:0006886
OG0004483_x00	GO:0005739
OG0005591_x00	GO:0005739
OG0006103_x00	GO:0003755,GO:0005515,GO:0051879,GO:0005737,GO:0007283,GO:0034587
OG0010668_x00	GO:0006790,GO:0008459,GO:0030206,GO:0001517,GO:0005802,GO:0006044,GO:0000139,GO:0005975,GO:0008146
OG0000399_x02	GO:0003677,GO:0000981,GO:0006355,GO:0006357,GO:0030154,GO:0000978,GO:0005634
OG0011776_x00	GO:0005654,GO:1901222
OG0002019_x00	GO:0017080,GO:0019871,GO:0044325,GO:0086002,GO:0086005,GO:0086091,GO:2000649,GO:0001518,GO:0006814
OG0003803_x00	GO:0003779,GO:0032456,GO:0034314,GO:0042147,GO:0043014,GO:0043015,GO:0055037,GO:0071203,GO:0005769,GO:0006887
OG0004911_x00	GO:0005634,GO:0006355,GO:0006356
OG0003127_x00	GO:0008270
OG0004235_x00	GO:0000978,GO:0000981,GO:0006357
OG0001935_x00	GO:0009058,GO:0030170,GO:0006520,GO:0008483
OG0006451_x00	GO:0022857,GO:0016020,GO:0055085
OG0010270_x00	GO:0005737,GO:0009966,GO:0001965,GO:0005634
OG0011528_x00	GO:0006310,GO:0042138,GO:0000794,GO:0007129
OG0005218_x00	GO:0016020,GO:0042500,GO:0033619,GO:0071458,GO:0071556,GO:0005765,GO:0030660
OG0006326_x00	GO:0034451,GO:0034454,GO:0035735,GO:0036064,GO:0060271,GO:0071539,GO:0005813,GO:0005814,GO:0007098
OG0007434_x00	GO:0046872,GO:0000285,GO:0030593,GO:0031410,GO:0032438,GO:0052810,GO:0090385,GO:1903426,GO:0012506,GO:0035556,GO:0046488,GO:0052742,GO:0005524
OG0008542_x00	GO:0016491,GO:0021847,GO:0042470,GO:0048066,GO:0002052,GO:0004167,GO:0006583
OG0009650_x00	GO:0031514,GO:0044782
OG0004458_x00	GO:0002115,GO:0015279,GO:0016020
OG0005566_x00	GO:0000463,GO:0003735,GO:0022625,GO:0003723
OG0006674_x00	GO:0016972,GO:0016971,GO:0030173,GO:0003756,GO:0005615,GO:0006457
OG0010022_x00	GO:0005509,GO:0008048
OG0007782_x00	GO:0061631,GO:0070534,GO:0000209,GO:0005634,GO:0006301
OG0011130_x00	GO:0061630,GO:0005515
OG0003698_x00	GO:0019216,GO:0005739,GO:0006508,GO:0008233
OG0009402_x00	GO:0003007
OG0004060_x00	GO:0005634,GO:0010569,GO:0035861
OG0010370_x00	GO:0016020,GO:0030552,GO:0042383,GO:0042391,GO:0051146,GO:0007507,GO:0007519
OG0005318_x00	GO:0000923,GO:0000930,GO:0005813,GO:0005815,GO:0007020,GO:0031122,GO:0043015,GO:0051011,GO:0051225,GO:0000226,GO:0051321,GO:0000278,GO:0000922
OG0009197_x00	GO:0045944,GO:0000077,GO:0005634,GO:0042393
OG0006426_x00	GO:0003676,GO:0005524,GO:0005634,GO:0042254
OG0005789_x00	GO:0015101,GO:0015695,GO:0016020,GO:0022857,GO:0055085
OG0001084_x00	GO:0003755,GO:0005515
OG0008642_x00	GO:0004993,GO:0005886,GO:0007186,GO:0007198,GO:0007268,GO:0030425,GO:0030594,GO:0005887,GO:0007187,GO:0042310,GO:0046849,GO:0050795,GO:0004930,GO:0016020
OG0001084_x01	GO:0003755,GO:0005515
OG0006897_x00	GO:0006887,GO:0051601,GO:0000145,GO:0000149
OG0002192_x00	GO:0005515
OG0009750_x00	GO:0006486,GO:0008373,GO:0009311,GO:0003828,GO:0006491
OG0007409_x00	GO:0004672,GO:0005524,GO:0006468,GO:0018108,GO:0043484,GO:0004674,GO:0004713,GO:0005634
OG0008517_x00	GO:0005544,GO:0005886,GO:0014059,GO:0017156,GO:0017158,GO:0019905,GO:0030276,GO:0048488,GO:0048791,GO:0070382,GO:0071277,GO:0000149,GO:0001786,GO:0005509,GO:0016020
OG0000404_x00	GO:0006357,GO:0009952,GO:0009954,GO:0048704,GO:0000978,GO:0003700,GO:0005634,GO:0000981,GO:0006355,GO:0003677,GO:0006351
OG0000404_x01	GO:0003677,GO:0000981,GO:0006355,GO:0005634,GO:0006351,GO:0006357,GO:0009952,GO:0009954,GO:0048704,GO:0000978,GO:0003700
OG0010593_x00	GO:0016779,GO:0031123,GO:0031499,GO:1990817,GO:0003729,GO:0004652,GO:0005730
OG0000404_x02	GO:0003677,GO:0006355,GO:0000981,GO:0005634,GO:0006351,GO:0006357,GO:0009952,GO:0009954,GO:0048704,GO:0000978,GO:0003700
OG0001512_x01	GO:0005923,GO:0016020,GO:0098641
OG0006649_x00	GO:0020037,GO:0019825,GO:0005506,GO:0015671,GO:0016491
OG0007757_x00	GO:0005096,GO:0048205
OG0003052_x00	GO:0005515,GO:0005524,GO:0016887,GO:0140603
OG0011105_x00	GO:0005515,GO:0034772,GO:0042799,GO:0005634
OG0004160_x00	GO:0016868,GO:0071704,GO:0005975,GO:0004610,GO:0000287,GO:0006048,GO:0030097
OG0008865_x00	GO:0046872,GO:0004053,GO:0006525,GO:0016813,GO:0019547,GO:0030145,GO:0005737,GO:0005739
OG0009973_x00	GO:0005544,GO:0005886,GO:0014059,GO:0017156,GO:0017158,GO:0019905,GO:0030276,GO:0048488,GO:0048791,GO:0070382,GO:0071277,GO:0000149,GO:0001786,GO:0005509,GO:0016020
OG0000752_x00	GO:0007165,GO:0008195,GO:0046839,GO:0005887,GO:0006644
OG0008189_x00	GO:0000127,GO:0006383
OG0000752_x01	GO:0007165,GO:0008195,GO:0046839,GO:0005887,GO:0006644
OG0009297_x00	GO:0004252,GO:0005615,GO:0006508,GO:0005509
OG0001860_x00	GO:0004252,GO:0006508
OG0005889_x00	GO:0005515,GO:0045892,GO:0000981,GO:0005634,GO:0006357
OG0004035_x00	GO:0005634,GO:0005737,GO:0016538,GO:0044772,GO:0097134,GO:0097135,GO:0000079,GO:0000082,GO:0000307
OG0010345_x00	GO:0004653,GO:0005794,GO:0006493
OG0006997_x00	GO:0005515,GO:0080008
OG0005143_x00	GO:0003909,GO:0006310,GO:0003910,GO:0005524,GO:0006281,GO:0005958,GO:0006297,GO:0006303,GO:0032807,GO:0033152,GO:0051103,GO:0003677,GO:0071897
OG0006251_x00	GO:0006974,GO:0008283,GO:0001934,GO:0005634
OG0007509_x00	GO:1990904,GO:0003723,GO:0003676
OG0002167_x00	GO:0005813,GO:0005874,GO:0032467,GO:0000922
OG0001059_x01	GO:0005249,GO:0006813,GO:0016020,GO:0071805,GO:0005887,GO:0042391,GO:0055085,GO:0005216,GO:0006811
OG0003951_x00	GO:0005576,GO:0005515,GO:0004857,GO:0004867,GO:0005886
OG0011328_x00	GO:0003723,GO:0003729,GO:0003676,GO:0005737,GO:0006396,GO:0008380,GO:0035145,GO:0005634
OG0003275_x00	GO:0006357,GO:0000978,GO:0000981,GO:0005634
OG0004383_x00	GO:0003824,GO:0005515,GO:0016605,GO:0070260,GO:0003697,GO:0005737,GO:0006302
OG0000975_x00	GO:0006629,GO:0004622,GO:0005783,GO:0046470
OG0000299_x00	GO:0005856,GO:0008092,GO:0030866,GO:0003779,GO:0005198,GO:0005886
OG0000299_x01	GO:0005856,GO:0005886,GO:0008092,GO:0030866,GO:0003779,GO:0005198
OG0010568_x00	GO:0036066,GO:0036085,GO:0005457,GO:0005794,GO:0015297
OG0006003_x00	GO:0005515,GO:0042015,GO:0004896,GO:0005887,GO:0019221
OG0007111_x00	GO:0005922,GO:0007154,GO:0007267,GO:0007507,GO:0086044,GO:0086076,GO:0005243
OG0011676_x00	GO:0008380
OG0003027_x00	GO:0007165,GO:0007173,GO:0019901
OG0004811_x00	GO:0005610,GO:0009887,GO:0009888,GO:0016477,GO:0098609,GO:0001738,GO:0005178,GO:0005604
OG0004135_x00	GO:0003723,GO:0003735,GO:0022625
OG0005243_x00	GO:0042407
OG0000727_x00	GO:0005085,GO:0032012
OG0003498_x00	GO:0003684,GO:0006281,GO:0009314,GO:0035861,GO:0042276,GO:0003887,GO:0005634,GO:0005657
OG0006351_x00	GO:0045892,GO:0005634,GO:0032021,GO:0034244
OG0000727_x01	GO:0005085,GO:0032012
OG0001835_x00	GO:0005739
OG0002943_x00	GO:0003924,GO:0005525,GO:0006886,GO:0016192,GO:0005737,GO:0005794
OG0010170_x00	GO:0047617,GO:0005777,GO:0006631,GO:0006637,GO:0016790
OG0005118_x00	GO:0006355,GO:0000978,GO:0000981,GO:0005634
OG0006226_x00	GO:0007389,GO:0007399,GO:0008013,GO:0008017,GO:0016342,GO:0016477,GO:0030178,GO:0030877,GO:0045295,GO:0045595,GO:0001708,GO:0045732,GO:0005881,GO:0090090,GO:0007026,GO:0016055,GO:0005515
OG0007334_x00	GO:0000287,GO:0005737,GO:0008253
OG0002818_x00	GO:0005515,GO:0030511,GO:0045545,GO:0005737,GO:0005886,GO:0010862
OG0011899_x00	GO:0005634
OG0003926_x00	GO:0016020,GO:0042500,GO:0033619,GO:0071458,GO:0071556,GO:0006465,GO:0030660
OG0009550_x00	GO:0005515,GO:0005102,GO:0005737,GO:0006621
OG0004358_x00	GO:0005515,GO:0055037,GO:0007274,GO:0030833,GO:0031594
OG0005466_x00	GO:0007267,GO:0015267,GO:0022829,GO:0032732,GO:0005886,GO:0006812
OG0006574_x00	GO:0005506,GO:0016705,GO:0020037,GO:0004497,GO:0016712,GO:0070989,GO:0008202,GO:0008395,GO:0050649
OG0007682_x00	GO:0005164,GO:0006955,GO:0016020,GO:0043374,GO:0005515
OG0008790_x00	GO:0003723,GO:0006400
OG0003598_x00	GO:0055085,GO:0015810,GO:0015813,GO:0022857,GO:0043490,GO:0005313,GO:0006810,GO:0015183
OG0009302_x00	GO:0061709
OG0000552_x00	GO:0000166,GO:0005388,GO:0006816,GO:0016020,GO:0016021,GO:0034220,GO:0070588,GO:0006874,GO:0015662,GO:0016887,GO:0005215,GO:0005524
OG0000552_x01	GO:0016887,GO:0005215,GO:0005524,GO:0016020,GO:0000166,GO:0016021,GO:0034220,GO:0070588,GO:0005388,GO:0006874,GO:0015662,GO:0006816
OG0009097_x00	GO:0005524,GO:0004672,GO:0006468,GO:0005737,GO:0005829,GO:0004694,GO:0005634
OG0002918_x00	GO:0006281,GO:0042276,GO:0070987,GO:0003887,GO:0005634,GO:0017125,GO:0003684,GO:0016779
OG0006797_x00	GO:0016791,GO:0046856,GO:0045579,GO:0045659,GO:0045779,GO:0050776,GO:0005829,GO:0009966,GO:0009968
OG0010145_x00	GO:0035091
OG0007309_x00	GO:0016491,GO:0010181,GO:0003958,GO:0050660,GO:0005829
OG0008417_x00	GO:0000276,GO:0015078,GO:0015986,GO:0046933
OG0009525_x00	GO:0003700,GO:0006355,GO:0006357,GO:0030968,GO:0000978,GO:0000981,GO:0005634
OG0001412_x00	GO:0004843,GO:0016579
OG0010493_x00	GO:0005524,GO:0005634,GO:0017116,GO:0032508,GO:0042555,GO:0000724,GO:0003677,GO:0003697,GO:0016887
OG0000304_x01	GO:0016020,GO:0046856,GO:0106018,GO:0004438,GO:0005635,GO:0005737,GO:0016311
OG0000304_x02	GO:0046856,GO:0052866,GO:0016311,GO:0106018,GO:0004438,GO:0005737,GO:0016020
OG0001412_x01	GO:0004843,GO:0016579
OG0002520_x00	GO:0034470,GO:0005524,GO:0008080,GO:0016072,GO:0016747,GO:0030686,GO:1904812,GO:1990883,GO:0000049,GO:0005730
OG0006549_x00	GO:0005759,GO:0050218
OG0011005_x00	GO:0005672,GO:0006367,GO:0006366
OG0007657_x00	GO:0005829,GO:0006511,GO:0031593,GO:0005515
OG0008765_x00	GO:0005927,GO:0031430,GO:0043034
OG0012113_x00	GO:0005515,GO:0030054,GO:0030864,GO:0042995,GO:0051015,GO:0005886,GO:0021952,GO:0030036
OG0009873_x00	GO:0016020,GO:0005887
OG0000652_x01	GO:0005515,GO:0030424,GO:0070593,GO:0098632,GO:0005886,GO:0007156,GO:0007411
OG0001760_x01	GO:0030514,GO:0045596,GO:0001649,GO:0005615,GO:0009953
OG0010921_x00	GO:0005879,GO:0035082
OG0009748_x00	GO:0005634,GO:0006357,GO:0016602,GO:0000978,GO:0000981,GO:0001228,GO:0046982,GO:0003677
OG0005043_x00	GO:0016020,GO:0005021,GO:0005887,GO:0005925,GO:0007411,GO:0009611,GO:0010595,GO:0017154,GO:0030424,GO:0030947,GO:0038023,GO:0038085,GO:0001570,GO:0048010,GO:0001755,GO:0051491,GO:0002040,GO:0038084,GO:0001525
OG0001635_x00	GO:0033617
OG0000527_x01	GO:0016787,GO:0005829,GO:0000278,GO:0004722
OG0002743_x00	GO:0016485,GO:0004181,GO:0005615,GO:0006518,GO:0005515,GO:0006508,GO:0008270
OG0001635_x01	GO:0033617
OG0003851_x00	GO:0005515,GO:0004252,GO:0006508
OG0003175_x00	GO:0010008,GO:0070772,GO:0000306,GO:0006661
OG0008988_x00	GO:0055085,GO:0016020,GO:0030001,GO:0046873,GO:0071577,GO:0005385,GO:0005886
OG0005391_x00	GO:0018022,GO:0005737,GO:0005829,GO:0016279
OG0000199_x00	GO:1990544,GO:0005471,GO:0005743,GO:0140021,GO:1901029,GO:0055085
OG0000199_x02	GO:1990544,GO:0005471,GO:0005743,GO:0140021,GO:1901029,GO:0055085
OG0010468_x00	GO:0003924,GO:0005525,GO:0006886,GO:0012505
OG0007011_x00	GO:0030374,GO:0032798,GO:0045893,GO:0000724
OG0011576_x00	GO:0003677,GO:0000981,GO:0006355,GO:0009790,GO:0030154,GO:0030855,GO:0000978,GO:0006357
OG0003603_x00	GO:0005634,GO:0006357,GO:0009790,GO:0000977,GO:0000981,GO:0001655
OG0004711_x00	GO:0006744,GO:0016705,GO:0050660,GO:0016709,GO:0008681,GO:0005739,GO:0016491,GO:0071949
OG0012559_x00	GO:0005515,GO:0005929,GO:0007288,GO:0060271
OG0009102_x00	GO:0042761,GO:0005783,GO:0009922,GO:0019367,GO:0016020,GO:0030148,GO:0030176,GO:0034625,GO:0034626
OG0010070_x00	GO:0005515
OG0005018_x00	GO:0005868,GO:0007018,GO:0045504,GO:0000226,GO:0005813
OG0007910_x00	GO:0005267,GO:0016020,GO:0071805,GO:0022841,GO:0030322,GO:0005887,GO:0015271
OG0006126_x00	GO:0030176,GO:0030968,GO:0055074,GO:0005783
OG0002718_x00	GO:0016075,GO:0017091,GO:0034427,GO:0034473,GO:0034475,GO:0034476,GO:0043928,GO:0071028,GO:0071035,GO:0071038,GO:0071042,GO:0000176,GO:0000177,GO:0000467
OG0007234_x00	GO:0005515
OG0008342_x00	GO:0005739,GO:0022904
OG0004934_x00	GO:0004252,GO:0006508
OG0009450_x00	GO:0005515,GO:0060070,GO:0005615,GO:0017147,GO:0035567
